"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 07 03:17:36 UTC 2023","Sat Oct 07 03:17:52 UTC 2023","15908","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Sat Oct 07 04:05:56 UTC 2023","Sat Oct 07 04:06:05 UTC 2023","8964","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Sat Oct 07 03:01:41 UTC 2023","Sat Oct 07 03:01:47 UTC 2023","5683","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Sat Oct 07 03:02:18 UTC 2023","Sat Oct 07 03:02:21 UTC 2023","3697","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Sat Oct 07 02:57:09 UTC 2023","Sat Oct 07 02:57:30 UTC 2023","21333","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Sat Oct 07 03:53:54 UTC 2023","Sat Oct 07 03:58:41 UTC 2023","287648","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Sat Oct 07 04:05:55 UTC 2023","Sat Oct 07 04:05:56 UTC 2023","467","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Sat Oct 07 02:19:53 UTC 2023","Sat Oct 07 02:20:05 UTC 2023","12242","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Sat Oct 07 02:23:08 UTC 2023","Sat Oct 07 02:23:15 UTC 2023","7113","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Sat Oct 07 02:32:35 UTC 2023","Sat Oct 07 02:32:56 UTC 2023","21081","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sat Oct 07 03:01:25 UTC 2023","Sat Oct 07 03:01:28 UTC 2023","3041","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Sat Oct 07 03:38:15 UTC 2023","Sat Oct 07 03:38:25 UTC 2023","10371","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Sat Oct 07 02:18:59 UTC 2023","Sat Oct 07 02:18:59 UTC 2023","58","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Sat Oct 07 03:37:44 UTC 2023","Sat Oct 07 03:37:47 UTC 2023","3405","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Sat Oct 07 03:37:35 UTC 2023","Sat Oct 07 03:37:39 UTC 2023","4340","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Sat Oct 07 03:09:19 UTC 2023","Sat Oct 07 03:09:41 UTC 2023","22412","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Sat Oct 07 03:30:23 UTC 2023","Sat Oct 07 03:30:24 UTC 2023","1122","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Sat Oct 07 04:11:27 UTC 2023","Sat Oct 07 04:11:46 UTC 2023","19207","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Sat Oct 07 03:17:53 UTC 2023","Sat Oct 07 03:18:04 UTC 2023","11001","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Sat Oct 07 02:57:05 UTC 2023","Sat Oct 07 02:57:09 UTC 2023","3200","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sat Oct 07 04:05:49 UTC 2023","Sat Oct 07 04:05:55 UTC 2023","6368","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Sat Oct 07 03:01:17 UTC 2023","Sat Oct 07 03:01:25 UTC 2023","7974","","6. Company Account","","","","2. Create a Company Account",""
"passed","Sat Oct 07 03:53:34 UTC 2023","Sat Oct 07 03:53:54 UTC 2023","19564","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Sat Oct 07 02:18:59 UTC 2023","Sat Oct 07 02:19:09 UTC 2023","9388","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Sat Oct 07 02:35:08 UTC 2023","Sat Oct 07 02:35:10 UTC 2023","2607","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sat Oct 07 02:57:57 UTC 2023","Sat Oct 07 02:58:00 UTC 2023","2662","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sat Oct 07 02:27:47 UTC 2023","Sat Oct 07 02:27:54 UTC 2023","7000","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Sat Oct 07 03:37:59 UTC 2023","Sat Oct 07 03:38:14 UTC 2023","15518","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Sat Oct 07 02:20:33 UTC 2023","Sat Oct 07 02:20:45 UTC 2023","12209","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Sat Oct 07 04:26:14 UTC 2023","Sat Oct 07 04:26:16 UTC 2023","2053","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Sat Oct 07 04:03:05 UTC 2023","Sat Oct 07 04:03:08 UTC 2023","2627","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Sat Oct 07 02:58:00 UTC 2023","Sat Oct 07 02:58:27 UTC 2023","27662","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Sat Oct 07 03:02:07 UTC 2023","Sat Oct 07 03:02:18 UTC 2023","10968","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Sat Oct 07 04:14:38 UTC 2023","Sat Oct 07 04:14:47 UTC 2023","8762","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Sat Oct 07 02:33:04 UTC 2023","Sat Oct 07 02:33:07 UTC 2023","2586","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sat Oct 07 02:52:02 UTC 2023","Sat Oct 07 02:52:05 UTC 2023","2614","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Sat Oct 07 04:11:56 UTC 2023","Sat Oct 07 04:11:58 UTC 2023","2714","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Sat Oct 07 02:18:18 UTC 2023","Sat Oct 07 02:18:59 UTC 2023","41332","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sat Oct 07 02:22:48 UTC 2023","Sat Oct 07 02:23:08 UTC 2023","20310","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Sat Oct 07 03:02:04 UTC 2023","Sat Oct 07 03:02:07 UTC 2023","3077","","6. Company Account","","","","6. Review Review Page",""
"passed","Sat Oct 07 03:21:49 UTC 2023","Sat Oct 07 03:22:10 UTC 2023","20388","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Sat Oct 07 02:56:32 UTC 2023","Sat Oct 07 02:56:56 UTC 2023","23829","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sat Oct 07 04:02:34 UTC 2023","Sat Oct 07 04:02:55 UTC 2023","20999","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Sat Oct 07 03:18:31 UTC 2023","Sat Oct 07 03:18:33 UTC 2023","2235","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Sat Oct 07 02:58:28 UTC 2023","Sat Oct 07 02:58:31 UTC 2023","3622","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Sat Oct 07 02:27:54 UTC 2023","Sat Oct 07 02:27:57 UTC 2023","3200","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sat Oct 07 03:37:21 UTC 2023","Sat Oct 07 03:37:35 UTC 2023","14366","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Sat Oct 07 03:11:33 UTC 2023","Sat Oct 07 03:11:54 UTC 2023","21082","","9. Client Portal - Home","","","","1. Check links",""
"passed","Sat Oct 07 02:51:05 UTC 2023","Sat Oct 07 02:52:02 UTC 2023","57229","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Sat Oct 07 03:24:42 UTC 2023","Sat Oct 07 03:24:43 UTC 2023","1298","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Sat Oct 07 04:12:31 UTC 2023","Sat Oct 07 04:12:35 UTC 2023","4162","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
